,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,credit_limit_bins,Customer_Age_bins,Total_Revolving_Bal_bins,Dependent_count_bins,Months_on_book_bins,Months_Inactive_12_mon_bins,Total_Relationship_Count_bins,Contacts_Count_12_mon_bins,Total_Trans_Amt_bins,Avg_Open_To_Buy_bins,Total_Amt_Chng_Q4_Q1_bins,Total_Ct_Chng_Q4_Q1_bins,Total_Trans_Ct_bins,Avg_Utilization_Ratio_bins
1667,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1668,Existing Customer,M,High School,Single,$80K - $120K,Blue,low,26 - 42,mid,3 - 5,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1669,Existing Customer,M,High School,Single,$60K - $80K,Blue,low,26 - 42,low,3 - 5,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1670,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1671,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1672,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1673,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1674,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1675,Existing Customer,M,College,Married,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1676,Existing Customer,M,Graduate,Married,Less than $40K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1677,Existing Customer,M,College,Single,$80K - $120K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1678,Existing Customer,M,High School,Married,$120K +,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1679,Existing Customer,F,Post-Graduate,Married,Unknown,Blue,mid,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1680,Existing Customer,F,Graduate,Married,$40K - $60K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1681,Existing Customer,F,College,Single,Unknown,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1682,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,low,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1683,Existing Customer,M,College,Single,$40K - $60K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1684,Existing Customer,F,Uneducated,Single,Unknown,Silver,high,26 - 42,mid,3 - 5,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
1685,Existing Customer,F,Graduate,Married,$40K - $60K,Blue,low,43 - 57,high,3 - 5,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1686,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1687,Existing Customer,F,Post-Graduate,Single,Less than $40K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1688,Existing Customer,F,College,Divorced,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1689,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1690,Existing Customer,F,Unknown,Single,$40K - $60K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1691,Existing Customer,M,High School,Married,$80K - $120K,Blue,high,43 - 57,mid,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
1692,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1693,Attrited Customer,M,College,Married,$80K - $120K,Blue,low,26 - 42,mid,3 - 5,28 - 42,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1694,Existing Customer,F,Graduate,Married,Unknown,Blue,low,26 - 42,mid,3 - 5,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1695,Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1696,Existing Customer,M,High School,Unknown,$80K - $120K,Blue,high,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1697,Existing Customer,F,High School,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1698,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1699,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1700,Existing Customer,M,Graduate,Single,$80K - $120K,Silver,high,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,4 - 6,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
1701,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1702,Existing Customer,M,Graduate,Single,Less than $40K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1703,Existing Customer,M,High School,Single,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1704,Existing Customer,M,High School,Divorced,$80K - $120K,Blue,high,26 - 42,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
1705,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1706,Existing Customer,M,College,Single,$40K - $60K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1707,Attrited Customer,M,College,Single,$80K - $120K,Silver,high,26 - 42,low,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
1708,Existing Customer,F,Graduate,Unknown,Less than $40K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1709,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1710,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1711,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1712,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1713,Existing Customer,M,Unknown,Married,$120K +,Blue,high,43 - 57,mid,0 - 2,28 - 42,4 - 6,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
1714,Existing Customer,F,Graduate,Unknown,$40K - $60K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1715,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1716,Existing Customer,M,Uneducated,Single,$40K - $60K,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1717,Existing Customer,F,Graduate,Married,$40K - $60K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1718,Existing Customer,F,Post-Graduate,Single,Less than $40K,Blue,low,26 - 42,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1719,Existing Customer,F,Doctorate,Married,$40K - $60K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1720,Existing Customer,M,Unknown,Single,$40K - $60K,Blue,low,26 - 42,low,0 - 2,28 - 42,4 - 6,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1721,Attrited Customer,M,Graduate,Married,$120K +,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1722,Existing Customer,M,College,Married,$60K - $80K,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1723,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,low,43 - 57,high,0 - 2,43 - 56,4 - 6,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1724,Existing Customer,M,Unknown,Married,Less than $40K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1725,Existing Customer,F,Doctorate,Married,Unknown,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1726,Existing Customer,F,Unknown,Single,Unknown,Blue,mid,26 - 42,low,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1727,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1728,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1729,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,26 - 42,mid,3 - 5,13 - 27,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1730,Existing Customer,F,High School,Married,$40K - $60K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1731,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1732,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1733,Existing Customer,F,High School,Single,Less than $40K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1734,Existing Customer,F,Graduate,Single,Unknown,Blue,low,26 - 42,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1735,Existing Customer,M,Graduate,Single,Less than $40K,Blue,low,43 - 57,low,0 - 2,28 - 42,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1736,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1737,Existing Customer,M,Graduate,Married,$120K +,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1738,Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,mid,26 - 42,low,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
1739,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,mid,26 - 42,low,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1740,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1741,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1742,Attrited Customer,M,College,Divorced,$80K - $120K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1743,Existing Customer,F,Uneducated,Married,Unknown,Blue,low,57 +,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1744,Existing Customer,M,High School,Single,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1745,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1746,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1747,Existing Customer,M,Graduate,Single,Less than $40K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
1748,Existing Customer,F,Uneducated,Married,Unknown,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1749,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1750,Existing Customer,M,Post-Graduate,Married,$60K - $80K,Blue,low,43 - 57,high,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1751,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1752,Attrited Customer,F,Uneducated,Single,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1753,Existing Customer,F,High School,Single,$40K - $60K,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1754,Existing Customer,M,Unknown,Single,$60K - $80K,Blue,mid,26 - 42,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
1755,Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,low,43 - 57,low,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1756,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,mid,26 - 42,mid,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1757,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1758,Existing Customer,F,Unknown,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1759,Existing Customer,M,Unknown,Married,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1760,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1761,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1762,Existing Customer,F,High School,Married,Unknown,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1763,Existing Customer,F,College,Single,Unknown,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1764,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,low,3 - 5,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1765,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1766,Existing Customer,M,Graduate,Married,$120K +,Blue,low,43 - 57,high,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1767,Existing Customer,M,Uneducated,Married,$120K +,Blue,low,26 - 42,mid,0 - 2,13 - 27,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1768,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,57 +,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1769,Existing Customer,F,Unknown,Married,$40K - $60K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1770,Existing Customer,M,Uneducated,Single,$80K - $120K,Blue,high,26 - 42,mid,3 - 5,13 - 27,1 - 3,4 ,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
1771,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1772,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1773,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1774,Existing Customer,F,Unknown,Single,Less than $40K,Silver,mid,26 - 42,mid,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
1775,Existing Customer,F,High School,Single,Unknown,Blue,mid,26 - 42,low,0 - 2,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,54 - 96,0 - 0.3
1776,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1777,Existing Customer,M,College,Single,$80K - $120K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1778,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1779,Existing Customer,M,Graduate,Single,$40K - $60K,Blue,low,26 - 42,high,0 - 2,13 - 27,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.3 - 0.6
1780,Existing Customer,M,College,Single,$60K - $80K,Blue,mid,26 - 42,low,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1781,Existing Customer,F,Uneducated,Divorced,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,4 - 6,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1782,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1783,Existing Customer,M,College,Married,$60K - $80K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1784,Existing Customer,M,High School,Single,$80K - $120K,Gold,high,26 - 42,high,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,54 - 96,0 - 0.3
1785,Existing Customer,F,College,Married,$40K - $60K,Blue,low,26 - 42,mid,0 - 2,28 - 42,1 - 3,1 - 3,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1786,Existing Customer,F,High School,Married,Less than $40K,Blue,low,26 - 42,low,0 - 2,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1787,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,low,43 - 57,high,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1788,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1789,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,26 - 42,high,3 - 5,13 - 27,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1790,Existing Customer,M,High School,Single,$60K - $80K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1791,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,26 - 42,high,0 - 2,28 - 42,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.6 - 1
1792,Existing Customer,M,High School,Married,$40K - $60K,Blue,low,57 +,high,3 - 5,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1793,Existing Customer,F,Graduate,Married,Less than $40K,Blue,low,26 - 42,high,3 - 5,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1794,Attrited Customer,M,College,Married,$120K +,Blue,mid,57 +,low,0 - 2,43 - 56,4 - 6,1 - 3,4 - 6,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1795,Existing Customer,M,Unknown,Single,$80K - $120K,Blue,low,43 - 57,mid,3 - 5,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0 - 0.3
1796,Existing Customer,M,High School,Married,$60K - $80K,Blue,low,43 - 57,low,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
1797,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,low,57 +,high,0 - 2,43 - 56,1 - 3,4 ,4 - 6,less than 6500,low,low -mid,low -mid,54 - 96,0.6 - 1
1798,Existing Customer,M,High School,Married,Less than $40K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
1799,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,4 - 6,less than 6500,low,low -mid,low -mid,10 - 53,0.3 - 0.6
