name,price,capacity_w,capacity_va
Tripp Lite SMART2200NET,1509.0,1700.0,2200.0
Tripp Lite TE1200,,940.0,1200.0
Tripp Lite SU2200XL,,1600.0,2200.0
Tripp Lite SU3000XL,,2400.0,3000.0
Tripp Lite SU3000XLNAFTA,,2400.0,3000.0
Tripp Lite SU5000RT3U,,3500.0,5000.0
Tripp Lite SU5000RT3UHV,,3500.0,5000.0
Tripp Lite SU5000RT4U,,3800.0,5000.0
Tripp Lite SU6000RT3U,,4200.0,6000.0
Tripp Lite SU6000RT3UHV,,4200.0,6000.0
Tripp Lite SU6000RT3UHVXL,,4200.0,6000.0
Tripp Lite SU6000RT4U,,4200.0,6000.0
Tripp Lite SU6000RT4UHVG,4097.41,5400.0,6000.0
Tripp Lite SU6000RT4UHVHW,,5400.0,6000.0
Tripp Lite SU6000RT4UTFHW,,5400.0,6000.0
Tripp Lite SU8000RT3U,,6400.0,8000.0
Tripp Lite SU8000RT3UG,,6400.0,8000.0
Tripp Lite SUINT1500RTXL2UA,,1200.0,1500.0
Tripp Lite SUINT2200RTXL2UA,,1600.0,2200.0
Tripp Lite SUINT3000RTXL3U,,2400.0,3000.0
Tripp Lite SU1500RMNAFTA,,1200.0,1500.0
Tripp Lite SU1500RTXL2U,,1200.0,1500.0
Tripp Lite SMX5000XLRT3U,,3750.0,5000.0
Tripp Lite SU10000RT3U2TF,8086.82,8000.0,10000.0
Tripp Lite SU1000RTXLCD2U,739.99,900.0,1000.0
Tripp Lite SU1000XLA,,800.0,1000.0
Tripp Lite SU10KRT3U,,7000.0,10000.0
Tripp Lite SMART750,,450.0,750.0
Tripp Lite SMART750USB,156.06,450.0,750.0
Tripp Lite SMART750XL,,450.0,750.0
Tripp Lite SMX1050SLT,,650.0,1050.0
Tripp Lite SMX2200RT2UTAA,,1600.0,2200.0
Tripp Lite SMX2200XLRT2U,,1920.0,2200.0
Tripp Lite SMX3000RT2UTAA,4289.21,2250.0,3000.0
Tripp Lite SMART550USBTAA,,300.0,550.0
Tripp Lite SMART700,,450.0,700.0
Tripp Lite ECO650LCD,,325.0,650.0
Tripp Lite SM1500XLNAFTA,,980.0,1500.0
Tripp Lite SMART3000RMOD2U,,2880.0,3000.0
Tripp Lite SMART3000VSTAA,,2250.0,3000.0
Tripp Lite SMART5000RT3U,,4000.0,5000.0
Tripp Lite INTERNET900U,132.99,480.0,900.0
Tripp Lite OMNISMARTINT500PNP,,300.0,500.0
Tripp Lite SMART1050NET,,705.0,1050.0
Tripp Lite SMART5000RT3UXR,,4000.0,5000.0
Tripp Lite SMARTINT1400RM,,940.0,1400.0
APC BK500,159.99,300.0,500.0
APC BR1500I,,865.0,1500.0
APC DLRT8000RMXLI6U,,6400.0,8000.0
APC SU2200R3X167,,1980.0,2200.0
APC SU700X167,,450.0,700.0
APC SUA1000,,670.0,1000.0
APC SUA1000RM1U,,640.0,1000.0
APC SUA1000RM2U,,670.0,1000.0
APC SUA1000US,,670.0,1000.0
APC SUA1500,,980.0,1440.0
APC SUA1500-RF,,980.0,1440.0
APC SUA1500RM2U,,980.0,1440.0
APC SUA2200X115,,1980.0,2200.0
APC SUA3000RMXLI3U,,2700.0,3000.0
APC SUA750RM1U,,480.0,750.0
APC SUA750RMI1U,,480.0,750.0
CyberPower BRG1350AVRLCD,,810.0,1350.0
CyberPower BRG1500AVRLCDTAA,,900.0,1500.0
CyberPower BRG850AVRLCD,,510.0,850.0
CyberPower CP550SL,,330.0,550.0
CyberPower CP550SLGTAA,,330.0,550.0
CyberPower CP750LCDTAA,,420.0,750.0
CyberPower CP800AVR,117.95,450.0,800.0
CyberPower CS16U48V-8,,16.0,
CyberPower CS24C12V2-E,,24.0,
CyberPower EC350G,,255.0,350.0
CyberPower OL2000RTXL2U,,1800.0,2200.0
CyberPower OL3000RMXL2U,,2100.0,3000.0
CyberPower OL6000RT3U,,5400.0,6000.0
CyberPower OR1000LCDRM1U,459.95,600.0,1000.0
CyberPower PP800SW,,550.0,800.0
CyberPower PR1000LCDRM1U,,750.0,1000.0
CyberPower PR1000LCDRT2U,,700.0,1000.0
CyberPower PR1000LCDRT2UTAA,,700.0,1000.0
CyberPower PR1000LCDRTXL2U,,900.0,1000.0
CyberPower PR1000LCDRTXL2UA,,750.0,1000.0
CyberPower PR1500LCDRT2U,,1350.0,1500.0
CyberPower PR1500LCDRT2UTAA,,1000.0,1500.0
CyberPower PR1500LCDRTXL2U,,1350.0,1500.0
CyberPower PR1500LCDRTXL2Ua,,1350.0,1500.0
CyberPower PR1500LCDRTXL2UTAA,,1125.0,1500.0
CyberPower PR1500LCDTAA,,1050.0,1500.0
CyberPower PR1500SWRM2U,,1000.0,1500.0
CyberPower PR2200LCDRT2U,,1600.0,2170.0
CyberPower PR2200LCDRTXL2U,,2150.0,2150.0
CyberPower PR2200LCDRTXL2UTAA,,1650.0,2150.0
CyberPower PR3000LCDRT2U,,2700.0,3000.0
CyberPower PR3000LCDRT2UTAA,,2250.0,3000.0
CyberPower PR3000LCDRTXL2UTAA,,2400.0,3000.0
CyberPower PR5000LCDRTXL5UTAA,,4000.0,5000.0
CyberPower PR750LCDRM1U,,560.0,750.0
CyberPower PR750LCDRT1U,475.95,600.0,700.0
CyberPower PR750LCDRTXL2U,,675.0,750.0
CyberPower PR750LCDTAA,,525.0,750.0
CyberPower CS50U48V,,50.0,
Belkin F6H650-SER,,360.0,650.0
Fellowes 99066,,,500.0
HP AF418A,,1000.0,1500.0
HP AF446A,,500.0,750.0
HP AF447A,,500.0,750.0
HP AF448A,,670.0,1000.0
HP AF449A,,670.0,1000.0
HP AF451A,,950.0,1400.0
HP AF460A,,4500.0,5000.0
HP AF466A,,2700.0,2880.0
HP AF467A,,3000.0,3300.0
HP AF468A,,3000.0,3300.0
HP AF469A,,1000.0,1500.0
HP AF471A,,1000.0,1500.0
IBM 2130R6X,,1050.0,1500.0
IBM 53951AX,,1000.0,1500.0
IBM 53951KX,,1000.0,1500.0
IBM 53952KX,,1920.0,2200.0
IBM 53953KX,,2700.0,3000.0
Lenovo 33L3478,,,675.0
Lenovo 55943AX,,2700.0,3000.0
APC SU3000RMTX136,,2250.0,3000.0
CyberPower CST135UC,,810.0,1350.0
